Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...85 years and over,"86,777","86,782","88,910","97,929","107,318","116,900","127,237","138,637","149,490","160,061","171,533","181,991"
,,,,,,,,,,,,
...16 years and over,"6,271,007","6,271,043","6,318,014","6,534,889","6,755,469","6,976,733","7,216,202","7,463,318","7,708,871","7,940,196","8,119,433","8,304,961"
...18 years and over,"6,094,585","6,094,621","6,140,497","6,353,556","6,569,018","6,785,961","7,022,667","7,268,057","7,506,657","7,728,366","7,907,017","8,088,861"
...15 to 44 years,"3,618,605","3,618,627","3,638,207","3,738,984","3,843,187","3,937,960","4,040,140","4,146,695","4,251,362","4,336,830","4,388,223","4,442,907"
,,,,,,,,,,,,
...Median age (years),36.4,36.4,36.5,36.8,37.0,37.2,37.4,37.6,37.8,38.0,38.4,38.8
.HISPANIC,"498,000","498,004","500,414","510,610","521,166","531,913","542,834","554,544","566,643","577,988","588,677","598,983"
..Under 5 years,"57,375","57,375","57,190","56,100","54,730","53,640","52,614","52,581","54,166","55,181","55,622","55,794"
..5 to 9 years,"50,514","50,514","50,669","52,171","54,080","55,544","56,901","57,522","56,527","55,241","54,233","53,235"
